,title,company,salary,location
257,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
258,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
259,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
260,Addetto back office,Tecnauto di Gargiuolo Roberto,Tirocinio formativo/stage,76125 Trani
261,Junior Business Analyst,Dot Academy srl,Tempo pieno,27100 Pavia
262,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
263,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
264,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
265,Business Analyst,Michael Page,No salary,"Roma, Lazio"
266,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
267,Data Analyst - Service,Coesia,No salary,"Bologna, Emilia-Romagna"
268,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
269,Customer Experience Analyst (Stage),Mediaworld,Tirocinio formativo/stage,20843 Verano Brianza
270,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
271,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
272,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
273,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
274,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
275,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
276,Addetto back office,Tecnauto di Gargiuolo Roberto,Tirocinio formativo/stage,76125 Trani
277,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
278,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
279,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
280,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
281,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
282,Data Analyst Laboratorio Materiali,Socotec Italia Srl,Tempo indeterminato +1,"Lainate, Lombardia"
283,DATA ANALYST,Temporary S.p.A.,Tempo pieno +1,"Milano, Lombardia"
284,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
285,Junior Data Analyst - Insurance,Mavriq,No salary,20100 Milano
286,Energy Industry Analyst,Octopus Energy Group,Tempo pieno,"Milano, Lombardia"
287,Data Analyst,Covisian S.p.A.,Tempo indeterminato,51100 Pistoia
288,Business Data Analyst,Dune,Tempo pieno +1,"Milano, Lombardia"
289,Data Analyst,Peroptyx,390 € - 780 € al mese,"Remoto in Milano, Lombardia"
290,Addetto back office,Tecnauto di Gargiuolo Roberto,Tirocinio formativo/stage,76125 Trani
291,Financial Planning & Control Analyst,Verisure Italy S R L,Tempo pieno,00166 Roma
292,JUNIOR IT & DATA ANALYST,PHARE CONSULTING,Tempo pieno +2,20900 Monza
293,Analista programmatore Cobol,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
294,Field Service Engineer (Onsite Agrate B.),APPLIED MATERIALS,No salary,20121 Milano
295,Business Product Analyst,Iperal,Tempo pieno,23010 Piantedo
296,Addetto/a Customer Service e Data Analyst,Eurointerim,Tempo pieno +1,"Modena, Emilia-Romagna"
297,Software Developer Senior,SADAS S.r.l.,Tempo pieno,"Casalnuovo di Napoli, Campania"
298,Data Analyst Laboratorio Materiali,Socotec Italia Srl,Tempo indeterminato +1,"Lainate, Lombardia"
299,Data Analyst - Service,Coesia,No salary,"Bologna, Emilia-Romagna"
